IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.86.79,8443,true,HKG,Asia Pacific,Hong Kong,36 ms,2390 kB/s
8.217.229.36,43801,true,HKG,Asia Pacific,Hong Kong,41 ms,2353 kB/s
47.243.162.49,2087,true,HKG,Asia Pacific,Hong Kong,36 ms,2347 kB/s
38.47.100.197,443,true,HKG,Asia Pacific,Hong Kong,77 ms,2322 kB/s
47.242.36.111,34237,true,HKG,Asia Pacific,Hong Kong,34 ms,2260 kB/s
223.122.34.65,27465,true,HKG,Asia Pacific,Hong Kong,49 ms,2169 kB/s
61.92.171.170,10681,true,HKG,Asia Pacific,Hong Kong,40 ms,2112 kB/s
103.235.18.229,10189,true,HKG,Asia Pacific,Hong Kong,39 ms,2067 kB/s
8.218.69.90,18351,true,HKG,Asia Pacific,Hong Kong,38 ms,2044 kB/s
223.122.38.145,26036,true,HKG,Asia Pacific,Hong Kong,46 ms,2029 kB/s
43.229.154.122,55696,true,HKG,Asia Pacific,Hong Kong,39 ms,1910 kB/s
8.217.46.5,34237,true,HKG,Asia Pacific,Hong Kong,40 ms,1895 kB/s
47.242.159.195,34237,true,HKG,Asia Pacific,Hong Kong,41 ms,1670 kB/s
47.242.59.213,39124,true,SIN,Asia Pacific,Singapore,35 ms,1651 kB/s
149.88.73.106,22222,true,HKG,Asia Pacific,Hong Kong,40 ms,1617 kB/s
38.47.101.200,8888,true,HKG,Asia Pacific,Hong Kong,75 ms,1596 kB/s
149.129.101.83,17385,true,HKG,Asia Pacific,Hong Kong,37 ms,1594 kB/s
38.47.100.65,46443,true,HKG,Asia Pacific,Hong Kong,71 ms,1583 kB/s
103.118.244.200,29076,true,HKG,Asia Pacific,Hong Kong,73 ms,1576 kB/s
8.217.192.178,34237,true,HKG,Asia Pacific,Hong Kong,39 ms,1530 kB/s
149.62.47.96,27003,true,HKG,Asia Pacific,Hong Kong,74 ms,1517 kB/s
117.18.13.174,34237,true,HKG,Asia Pacific,Hong Kong,36 ms,1499 kB/s
47.242.65.228,34237,true,HKG,Asia Pacific,Hong Kong,32 ms,1495 kB/s
38.147.174.195,10005,true,HKG,Asia Pacific,Hong Kong,40 ms,1470 kB/s
119.247.253.14,34584,true,HKG,Asia Pacific,Hong Kong,42 ms,1436 kB/s
8.210.125.20,34237,true,HKG,Asia Pacific,Hong Kong,32 ms,1365 kB/s
47.243.162.49,2087,true,HKG,Asia Pacific,Hong Kong,35 ms,1364 kB/s
103.225.199.234,5555,true,HKG,Asia Pacific,Hong Kong,39 ms,1362 kB/s
161.81.118.73,25773,true,HKG,Asia Pacific,Hong Kong,51 ms,1344 kB/s
161.81.207.203,10475,true,HKG,Asia Pacific,Hong Kong,47 ms,1315 kB/s
61.93.10.88,443,true,HKG,Asia Pacific,Hong Kong,39 ms,1288 kB/s
47.243.135.179,55308,true,HKG,Asia Pacific,Hong Kong,37 ms,1284 kB/s
8.210.220.19,34237,true,HKG,Asia Pacific,Hong Kong,33 ms,1277 kB/s
161.81.161.144,35510,true,HKG,Asia Pacific,Hong Kong,53 ms,1191 kB/s
223.122.38.145,26036,true,HKG,Asia Pacific,Hong Kong,44 ms,1182 kB/s
119.42.145.106,34237,true,HKG,Asia Pacific,Hong Kong,36 ms,1167 kB/s
38.47.102.139,8001,true,HKG,Asia Pacific,Hong Kong,72 ms,1124 kB/s
119.42.145.109,34237,true,HKG,Asia Pacific,Hong Kong,40 ms,1118 kB/s
199.15.78.113,446,true,HKG,Asia Pacific,Hong Kong,57 ms,1100 kB/s
161.81.207.203,11856,true,HKG,Asia Pacific,Hong Kong,45 ms,1092 kB/s
8.210.168.29,34237,true,HKG,Asia Pacific,Hong Kong,38 ms,1004 kB/s
115.126.57.237,715,true,HKG,Asia Pacific,Hong Kong,45 ms,997 kB/s
47.242.113.108,34237,true,HKG,Asia Pacific,Hong Kong,34 ms,989 kB/s
47.242.53.126,34237,true,HKG,Asia Pacific,Hong Kong,36 ms,987 kB/s
119.246.38.110,19265,true,HKG,Asia Pacific,Hong Kong,72 ms,979 kB/s
119.42.145.106,34237,true,HKG,Asia Pacific,Hong Kong,36 ms,942 kB/s
5.180.98.146,22827,true,HKG,Asia Pacific,Hong Kong,75 ms,890 kB/s
8.210.151.69,2096,true,HKG,Asia Pacific,Hong Kong,38 ms,863 kB/s
59.148.144.66,36301,true,HKG,Asia Pacific,Hong Kong,76 ms,816 kB/s
119.247.215.211,28680,true,HKG,Asia Pacific,Hong Kong,42 ms,815 kB/s
8.210.74.9,34237,true,HKG,Asia Pacific,Hong Kong,35 ms,807 kB/s
8.217.12.95,28235,true,HKG,Asia Pacific,Hong Kong,37 ms,791 kB/s
8.217.142.242,34237,true,HKG,Asia Pacific,Hong Kong,39 ms,779 kB/s
8.217.46.62,34237,true,HKG,Asia Pacific,Hong Kong,40 ms,772 kB/s
119.42.145.109,34237,true,HKG,Asia Pacific,Hong Kong,34 ms,762 kB/s
161.81.118.73,25844,true,HKG,Asia Pacific,Hong Kong,45 ms,747 kB/s
47.76.38.232,42160,true,WAW,Europe,Warsaw,35 ms,738 kB/s
8.218.27.11,55527,true,HKG,Asia Pacific,Hong Kong,34 ms,728 kB/s
203.184.131.45,8083,true,HKG,Asia Pacific,Hong Kong,51 ms,716 kB/s
8.210.151.69,8443,true,HKG,Asia Pacific,Hong Kong,37 ms,715 kB/s
8.210.238.178,34237,true,HKG,Asia Pacific,Hong Kong,33 ms,710 kB/s
8.217.229.36,11579,true,HKG,Asia Pacific,Hong Kong,41 ms,710 kB/s
47.242.106.213,34237,true,HKG,Asia Pacific,Hong Kong,35 ms,643 kB/s
8.218.102.81,34237,true,HKG,Asia Pacific,Hong Kong,38 ms,639 kB/s
38.147.174.195,10004,true,SIN,Asia Pacific,Singapore,39 ms,634 kB/s
8.218.195.168,34237,true,HKG,Asia Pacific,Hong Kong,34 ms,594 kB/s
45.145.228.82,19981,true,HKG,Asia Pacific,Hong Kong,45 ms,581 kB/s
223.122.67.148,28691,true,HKG,Asia Pacific,Hong Kong,51 ms,575 kB/s
8.217.178.116,34237,true,HKG,Asia Pacific,Hong Kong,35 ms,569 kB/s
8.210.151.69,2087,true,HKG,Asia Pacific,Hong Kong,38 ms,562 kB/s
8.217.92.24,34237,true,HKG,Asia Pacific,Hong Kong,36 ms,557 kB/s
47.243.162.49,2096,true,HKG,Asia Pacific,Hong Kong,35 ms,556 kB/s
154.218.6.178,443,true,HKG,Asia Pacific,Hong Kong,41 ms,545 kB/s
38.47.102.139,8002,true,HKG,Asia Pacific,Hong Kong,77 ms,545 kB/s
8.210.104.158,34237,true,HKG,Asia Pacific,Hong Kong,33 ms,534 kB/s
101.32.192.81,10443,true,HKG,Asia Pacific,Hong Kong,39 ms,502 kB/s
47.242.2.32,443,true,HKG,Asia Pacific,Hong Kong,41 ms,500 kB/s
47.243.108.41,34237,true,HKG,Asia Pacific,Hong Kong,38 ms,493 kB/s
47.243.93.216,2507,true,SIN,Asia Pacific,Singapore,32 ms,490 kB/s
20.247.109.61,10022,true,SIN,Asia Pacific,Singapore,85 ms,478 kB/s
8.218.127.249,2096,true,HKG,Asia Pacific,Hong Kong,39 ms,470 kB/s
38.55.98.21,10443,true,MAD,Europe,Madrid,38 ms,464 kB/s
8.210.74.9,34237,true,HKG,Asia Pacific,Hong Kong,35 ms,460 kB/s
45.152.64.52,34237,true,HKG,Asia Pacific,Hong Kong,42 ms,450 kB/s
47.242.2.32,443,true,HKG,Asia Pacific,Hong Kong,40 ms,430 kB/s
61.92.171.170,11007,true,HKG,Asia Pacific,Hong Kong,39 ms,424 kB/s
